College,Postcode,Latitude,Longitude,Date
Christ's College,CB2 3BU,52.204021,0.122920,
Churchill College,CB3 0DS,52.212645,0.091697,
Clare College,CB2 1TL,52.205815,0.116323,
Clare Hall,CB3 9AL,52.204214,0.105240,
Corpus Christi College,CB2 1RH,52.203081,0.118988,
Darwin College,CB3 9EU,52.203188,0.111979,
Downing College,CB2 1DQ,52.200592,0.126169,
Emmanuel College,CB2 3AP,52.203548,0.123434,
Fitzwilliam College,CB3 0DG,52.214711,0.102708,
Girton College,CB3 0JG,52.232329,0.081690,
Gonville & Caius College,CB2 1TA,52.206476,0.118272,
Homerton College,CB2 8PH,52.180219,0.141596,
Hughes Hall,CB1 2EW,52.200914,0.132527,
Jesus College,CB5 8BL,52.207951,0.127384,
King's College,CB2 1ST,52.203436,0.116342,
Lucy Cavendish College,CB3 0BU,52.211050,0.110847,
Magdalene College,CB3 0AG,52.210221,0.116664,
Murray Edwards College,CB3 0DF,52.218531,0.101759,
Newnham College,CB3 9DF,52.200395,0.109567,
Pembroke College,CB2 1RF,52.200802,0.121740,
Peterhouse,CB2 1RD,52.200192,0.120145,
Queens' College,CB3 9ET,52.202727,0.116300,
Robinson College,CB3 9AN,52.204214,0.105240,
Selwyn College,CB3 9DQ,52.200395,0.109567,
Sidney Sussex College,CB2 3HU,52.207358,0.124501,
St Catharine's College,CB2 1RL,52.203436,0.116342,
St Edmund's College,CB3 0BN,52.213292,0.110176,
St John's College,CB2 1TP,52.208521,0.118377,
Trinity College,CB2 1TQ,52.206476,0.118272,
Trinity Hall,CB2 1TJ,52.206102,0.115701,
Wolfson College,CB3 9BB,52.199517,0.104268,
